,Tの数
1420,26.0
1421,28.0
1422,27.0
1423,26.0
1424,29.0
1425,25.0
1426,27.0
1427,28.0
1428,28.0
1429,27.0
1430,32.0
1431,27.0
1432,27.0
1433,29.0
1434,25.0
1435,32.0
1436,20.0
1437,23.0
1438,29.0
1439,25.0
1440,30.0
1441,29.0
1442,25.0
1443,29.0
1444,26.0
1445,29.0
1446,28.0
1447,25.0
1448,27.0
1449,33.0
1450,24.0
1451,26.0
1452,30.0
1453,27.0
1454,25.0
1455,29.0
1456,29.0
1457,26.0
1458,25.0
1459,26.0
1460,22.0
1461,28.0
1462,27.0
1463,22.0
1464,25.0
1465,24.0
1466,27.0
1467,21.0
1468,25.0
1469,28.0
1470,25.0
1471,31.0
1472,31.0
1473,25.0
1474,28.0
1475,26.0
1476,32.0
1477,25.0
1478,27.0
1479,29.0
1480,20.0
1481,30.0
1482,22.0
1483,29.0
1484,28.0
1485,25.0
1486,27.0
1487,25.0
1488,24.0
1489,28.0
1490,22.0
1491,24.0
1492,27.0
1493,26.0
1494,28.0
1495,32.0
1496,27.0
1497,31.0
1498,27.0
1499,27.0
1500,29.0
1501,25.0
1502,24.0
1503,30.0
1504,27.0
1505,24.0
1506,27.0
1507,25.0
1508,27.0
1509,25.0
1510,25.0
1511,28.0
1512,30.0
1513,20.0
1514,25.0
1515,25.0
1516,22.0
1517,26.0
1518,27.0
1519,31.0
1520,29.0
1521,27.0
1522,28.0
1523,26.0
1524,32.0
1525,28.0
1526,29.0
1527,26.0
1528,25.0
1529,24.0
1530,32.0
1531,29.0
1532,27.0
1533,26.0
1534,28.0
1535,26.0
1536,25.0
1537,24.0
1538,30.0
1539,25.0
1540,25.0
1541,26.0
1542,29.0
1543,30.0
1544,27.0
1545,28.0
1546,22.0
1547,28.0
1548,31.0
1549,31.0
1550,26.0
1551,31.0
1552,29.0
1553,28.0
1554,27.0
1555,30.0
1556,25.0
1557,24.0
1558,28.0
1559,27.0
1560,28.0
1561,26.0
1562,28.0
1563,24.0
1564,27.0
1565,23.0
1566,22.0
1567,22.0
1568,26.0
1569,27.0
1570,24.0
1571,28.0
1572,25.0
1573,22.0
1574,26.0
1575,27.0
1576,30.0
1577,28.0
1578,23.0
1579,24.0
1580,29.0
1581,27.0
1582,26.0
1583,25.0
1584,28.0
1585,25.0
1586,27.0
1587,29.0
1588,23.0
1589,25.0
1590,28.0
1591,25.0
1592,29.0
1593,21.0
1594,26.0
1595,25.0
1596,28.0
1597,23.0
1598,21.0
1599,29.0
1600,28.0
1601,31.0
1602,28.0
1603,26.0
1604,21.0
1605,27.0
1606,28.0
1607,29.0
1608,25.0
1609,31.0
1610,30.0
1611,26.0
1612,29.0
1613,20.0
1614,28.0
1615,24.0
1616,25.0
1617,23.0
1618,26.0
1619,28.0
1620,25.0
1621,30.0
1622,28.0
1623,22.0
1624,29.0
1625,27.0
1626,25.0
1627,27.0
1628,27.0
1629,28.0
1630,27.0
1631,22.0
1632,28.0
1633,30.0
1634,26.0
1635,32.0
1636,30.0
1637,27.0
1638,22.0
1639,31.0
1640,25.0
1641,28.0
1642,29.0
1643,33.0
1644,27.0
1645,24.0
1646,24.0
1647,27.0
1648,28.0
1649,26.0
1650,25.0
1651,22.0
1652,26.0
1653,25.0
1654,30.0
1655,26.0
1656,25.0
1657,24.0
1658,27.0
1659,24.0
1660,27.0
1661,22.0
1662,28.0
1663,27.0
1664,24.0
1665,27.0
1666,29.0
1667,26.0
1668,31.0
1669,30.0
1670,28.0
1671,26.0
1672,24.0
1673,32.0
1674,23.0
1675,28.0
1676,31.0
1677,29.0
1678,28.0
1679,26.0
1680,29.0
1681,24.0
1682,25.0
1683,29.0
1684,30.0
1685,25.0
1686,28.0
1687,25.0
1688,26.0
1689,22.0
1690,29.0
1691,26.0
1692,25.0
1693,26.0
1694,25.0
1695,27.0
1696,31.0
1697,25.0
1698,26.0
1699,32.0
1700,26.0
1701,22.0
1702,25.0
1703,23.0
1704,29.0
1705,29.0
1706,26.0
1707,28.0
1708,29.0
1709,26.0
1710,28.0
1711,29.0
1712,31.0
1713,21.0
1714,24.0
1715,27.0
1716,31.0
1717,26.0
1718,29.0
1719,31.0
1720,23.0
1721,28.0
1722,26.0
1723,28.0
1724,28.0
1725,29.0
1726,24.0
1727,27.0
1728,30.0
1729,24.0
1730,24.0
1731,29.0
1732,27.0
1733,33.0
1734,27.0
1735,23.0
1736,22.0
1737,28.0
1738,24.0
1739,30.0
1740,27.0
1741,28.0
1742,24.0
1743,29.0
1744,28.0
1745,26.0
1746,25.0
1747,27.0
1748,28.0
1749,27.0
1750,26.0
1751,21.0
1752,27.0
1753,20.0
1754,26.0
1755,27.0
1756,22.0
1757,26.0
1758,24.0
1759,22.0
1760,30.0
1761,25.0
1762,27.0
1763,30.0
1764,30.0
1765,26.0
1766,26.0
1767,25.0
1768,28.0
1769,25.0
1770,25.0
1771,25.0
1772,30.0
1773,24.0
1774,26.0
1775,22.0
1776,23.0
1777,25.0
1778,26.0
1779,26.0
1780,28.0
1781,25.0
1782,22.0
1783,30.0
1784,27.0
1785,25.0
1786,25.0
1787,26.0
1788,25.0
1789,24.0
1790,29.0
1791,28.0
1792,27.0
1793,27.0
1794,23.0
1795,25.0
1796,25.0
1797,25.0
1798,22.0
1799,25.0
1800,24.0
1801,27.0
1802,28.0
1803,29.0
1804,25.0
1805,28.0
1806,28.0
1807,26.0
1808,23.0
1809,29.0
1810,32.0
1811,27.0
1812,28.0
1813,24.0
1814,28.0
1815,30.0
1816,28.0
1817,24.0
1818,16.0
1819,24.0
1820,27.0
1821,24.0
1822,29.0
1823,26.0
1824,30.0
1825,25.0
1826,25.0
1827,24.0
1828,25.0
1829,24.0
1830,25.0
1831,25.0
1832,27.0
1833,27.0
1834,24.0
1835,25.0
1836,22.0
1837,28.0
1838,25.0
1839,25.0
1840,23.0
1841,25.0
1842,28.0
1843,28.0
1844,25.0
1845,31.0
1846,27.0
1847,31.0
1848,25.0
1849,28.0
1850,28.0
1851,23.0
1852,27.0
1853,27.0
1854,29.0
1855,24.0
1856,25.0
1857,24.0
1858,25.0
1859,26.0
1860,27.0
1861,28.0
1862,25.0
1863,24.0
1864,27.0
1865,33.0
1866,22.0
1867,21.0
1868,28.0
1869,31.0
1870,31.0
1871,27.0
1872,23.0
1873,24.0
1874,25.0
1875,26.0
1876,23.0
1877,25.0
1878,29.0
1879,25.0
1880,26.0
1881,29.0
1882,26.0
1883,24.0
1884,27.0
1885,23.0
1886,26.0
1887,29.0
1888,30.0
1889,28.0
1890,27.0
1891,24.0
1892,23.0
1893,27.0
1894,29.0
1895,25.0
1896,29.0
1897,25.0
1898,27.0
1899,31.0
1900,25.0
1901,29.0
1902,24.0
1903,30.0
1904,29.0
1905,27.0
1906,29.0
1907,30.0
1908,30.0
1909,24.0
1910,27.0
1911,20.0
1912,25.0
1913,29.0
1914,29.0
1915,24.0
1916,26.0
1917,27.0
1918,25.0
1919,26.0
1920,32.0
1921,30.0
1922,24.0
1923,28.0
1924,33.0
1925,29.0
1926,31.0
1927,28.0
1928,27.0
1929,23.0
1930,29.0
1931,22.0
1932,26.0
1933,32.0
1934,27.0
1935,22.0
1936,28.0
1937,28.0
1938,27.0
1939,25.0
1940,29.0
1941,30.0
1942,32.0
1943,23.0
1944,32.0
1945,20.0
1946,31.0
1947,22.0
1948,25.0
1949,25.0
1950,24.0
1951,29.0
1952,24.0
1953,29.0
1954,22.0
1955,25.0
1956,20.0
1957,28.0
1958,29.0
1959,23.0
1960,28.0
1961,28.0
1962,27.0
1963,29.0
1964,23.0
1965,27.0
1966,23.0
1967,26.0
1968,25.0
1969,31.0
1970,24.0
1971,33.0
1972,24.0
1973,27.0
1974,27.0
1975,31.0
1976,30.0
1977,26.0
1978,27.0
1979,28.0
1980,31.0
1981,29.0
1982,27.0
1983,25.0
1984,23.0
1985,26.0
1986,26.0
1987,20.0
1988,25.0
1989,28.0
1990,30.0
1991,27.0
1992,29.0
1993,25.0
1994,29.0
1995,29.0
1996,25.0
1997,29.0
1998,29.0
1999,18.0
2000,24.0
2001,28.0
2002,26.0
2003,26.0
2004,21.0
2005,30.0
2006,21.0
2007,27.0
2008,30.0
2009,26.0
2010,23.0
2011,26.0
2012,25.0
2013,24.0
2014,26.0
2015,26.0
2016,27.0
2017,21.0
2018,26.0
2019,29.0
2020,34.0
2021,25.0
2022,30.0
2023,27.0
2024,30.0
2025,28.0
2026,26.0
2027,30.0
2028,26.0
2029,20.0
2030,24.0
2031,25.0
2032,29.0
2033,27.0
2034,21.0
2035,26.0
2036,27.0
2037,31.0
2038,25.0
2039,26.0
2040,24.0
2041,34.0
2042,28.0
2043,30.0
2044,27.0
2045,26.0
2046,30.0
2047,23.0
2048,27.0
2049,27.0
2050,27.0
2051,29.0
2052,27.0
2053,29.0
2054,25.0
2055,30.0
2056,27.0
2057,25.0
2058,25.0
2059,27.0
2060,31.0
2061,21.0
2062,27.0
2063,25.0
2064,24.0
2065,25.0
2066,25.0
2067,33.0
